kingdom	phylum	class	order	family	genus	species	type	ERR2143758d	ERR2143759d	ERR2143767d	ERR2143768d	ERR2143784d	ERR2143785d	ERR2143794d	ERR2143795d
Bacteria								0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Bacteria	Bacteroidota							0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Bacteroidota	CFGB45935						0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Bacteroidota	CFGB45935	OFGB45935					0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Bacteroidota	CFGB45935	OFGB45935	FGB45935				0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Bacteroidota	CFGB45935	OFGB45935	FGB45935	GGB56609			0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Bacteroidota	CFGB45935	OFGB45935	FGB45935	GGB56609	GGB56609_SGB78025		0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Bacteroidota	CFGB45935	OFGB45935	FGB45935	GGB56609	GGB56609_SGB78025	SGB78025	0.0	100.0	100.0	0.0	96.02616	100.0	85.22336	96.066
Bacteria	Proteobacteria							0.0	0.0	0.0	100.0	3.97384	0.0	14.77664	3.934
Bacteria	Proteobacteria	Deltaproteobacteria						0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales					0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae				0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio			0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_subterraneus		0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_subterraneus	SGB85556	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria						0.0	0.0	0.0	0.0	3.97384	0.0	14.77664	3.934
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales					0.0	0.0	0.0	0.0	3.97384	0.0	14.77664	3.934
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0.0	0.0	0.0	0.0	3.97384	0.0	14.77664	3.934
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phycocomes			0.0	0.0	0.0	0.0	3.97384	0.0	14.77664	3.934
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phycocomes	Phycocomes_zhengii		0.0	0.0	0.0	0.0	3.97384	0.0	14.77664	3.934
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phycocomes	Phycocomes_zhengii	SGB31485	0.0	0.0	0.0	0.0	3.97384	0.0	14.77664	3.934
